;;'***' 표시된 항목은 필수값입니다.
[PROJECT:START]
가곡(4423010022)-20230220
[PROJECT:END]
[SET_WATER_MANAGE:START]
;;물관리기간 설정,,,(㎜),(㎜)
;;순번,시작날짜,종료날짜,관리수심,배수조절
1,05/01/2020,09/10/2020,60,0
[SET_WATER_MANAGE:END]
[WATER_INSUPPLY:START]
;;순번,수원객체ID,객체유형,초기수심(m),증발계수,공급순번,공급객체ID,운영조건,시작시간,종료시간,비고,설명
1,IR_4423010022_TANK,1,7,0.72,1,IP_4423010022_PUMP,1,4,18,가곡,
2,IT_4423020034_TANK,1,2,0,1,IP_4423020034_PUMP,1,4,18,율리,
[WATER_INSUPPLY:END]
[WATER_INSUPPLY_DETAIL:START]
;;,,,,전체시스템,가곡,,율리,
;;$$,,,,수면증발량,IR_4423010022_TANK,IP_4423010022_PUMP,IT_4423020034_TANK,IP_4423020034_PUMP
;;순번,년,월,일,(㎜),유입량(천톤),공급량(천톤),유입량(천톤),공급량(천톤)
71,2020,07,10,2.59999990463257,0,0,0,0
72,2020,07,11,4.30000019073486,60,60.0000000,30,0.339516129
73,2020,07,12,1.10000002384186,0,0,0,0
74,2020,07,13,1,0,0,0,0
75,2020,07,14,0.800000011920929,60,60.0000000,30,0.339516129
76,2020,07,15,1.39999997615814,60,60.0000000,30,0.339516129
77,2020,07,16,6.80000019073486,60,60.0000000,30,0.339516129
78,2020,07,17,6.5,60,60.0000000,30,0.339516129
79,2020,07,18,2.79999995231628,60,60.0000000,30,0.339516129
80,2020,07,19,2.40000009536743,60,60.0000000,30,0.339516129
81,2020,07,20,5,60,60.0000000,30,0.339516129
82,2020,07,21,5.09999990463257,60,60.0000000,30,0.339516129
83,2020,07,22,1.20000004768372,0,0,0,0
84,2020,07,23,1.29999995231628,0,0,0,0
85,2020,07,24,1.29999995231628,60,60.0000000,30,0.339516129
86,2020,07,25,2.59999990463257,0,0,0,0
87,2020,07,26,5.30000019073486,60,60.0000000,30,0.339516129
88,2020,07,27,1.39999997615814,0,0,0,0
89,2020,07,28,1.29999995231628,0,0,0,0
90,2020,07,29,0.800000011920929,0,0,0,0
91,2020,07,30,1.70000004768372,60,60.0000000,30,0.339516129
92,2020,07,31,4.69999980926514,60,60.0000000,30,0.339516129
93,2020,08,01,5.80000019073486,60,60.0000000,30,30.0000000
94,2020,08,02,5.69999980926514,60,60.0000000,30,30.0000000
